Diameter,Floor Diam
20,12
20.38,6.5
20.6,12.5
20.66,8.5
20.75,5
21,16
21.3,4
21.5,16
21.88,7
22,12
22,16
22.3,8
22.56,14
22.88,19
22.88,17.5
23,7.5
23,17
23.5,19
23.5,9
23.8,15
24,15
24,15
25,22.5
25,21
25.38,9.5
25.6,21
26,13
26,15
26.5,10
26.88,12
27,20
27,10
27.13,13.5
27.4,14
27.75,12.5
28.38,9
28.5,13
28.5,20.5
29,17
29.25,19
29.63,12
29.9,14
30,26
30,24
30.1,19
30.38,11.5
30.63,12
30.88,26.5
31,24
31,23
31.63,13
31.75,12
32,19
32,28
33,20
33,15
33.2,13
33.25,14
33.5,15
33.6,19
33.7,29
34,24
34.12,13
34.5,17
34.75,31.5
34.8,10
35,16
35,22
35,29
35,28
35.25,31.5
35.8,18
36,25
36.25,17
37,31
38.88,22
39,29
39.5,10.5
39.6,20
39.6,20
40,20
40,26
40,33
40.12,36
40.2,17.5
40.25,36
40.5,19
41,33
41.6,19
41.8,24
42.1,20
43,27
43.1,31
43.38,19
43.38,18
44.7,27
45,32
45,37
45,40
45,34
45.12,29
46,27
46,40
46,32
46.25,39
47,35
47,20
48,28
48.75,23
49,43
50,35
50.5,24
50.6,30
51.63,26
52.5,25
52.6,32.5
53,46
53.5,32.8
53.5,26
53.9,28
54,39
55,47
55.3,30
55.9,22
56,50
57,51
58.3,31.5
58.5,42
59,52
59,55
59,24
59.8,43.8
60,37
62,52
64,51
64.5,32.5
65,58
68,50
70,48
71,40
71,59
71.4,38
72.1,70
78.2,45
80,66
85,82
85,46
87.3,52
93,54
95,90
100,87
100,87
101,90
102,65
102.5,75
106,60
110.4,103
125,94
128,83
135,93
136,80
147,132
150,139
150,92.5
158,100
178,125
197,145
235,190
275,200
370,260
450,400
480,400
680,600