Diameter,Peak Height
50,
50,0.71
50,0.77
50,0.66
50,
50,
50,
50,
50,
50,0.84
50,
50,0.45
51,
51,0.74
51,
51,0.82
51,
51,
51,0.77
51,0.67
51,
51,
51,0.5
51,0.5
51,
52,
52,0.44
52,
52,
52,
52,0.24
52,0.46
52,
53,1.15
53,
53,0.25
53,0.5
53,
54,1.01
54,
54,
54,0.5
54,
54,
54,
54,
54,0.2
54,
54,
54,
54,
54,
54,
54,0.79
54,
54,
54,
55,0.63
55,
55,1.4
55,0.47
55,
55,
55,
55,
55,0.32
55,0.31
55,1.26
55,
55,
55,
56,
56,1.06
56,
56,1.48
56,
56,
56,
56,0.79
56,
56,
56,0.4
56,
56,
56,
56,
57,
57,
57,
57,
57,0.7
57,
57,
57,0.52
57,0.87
57,
57,
57,
57,
57,
57,
58,2.17
58,
58,
58,0.93
58,
58,0.96
58,0.9
58,
58,1.25
58,0.54
58,
58,
58,
58,
58,
59,
59,0.92
59,
59,
59,
59,
59,
59,
59,1.89
59,
60,
60,
60,0.9
60,
60,
60,
60,
60,1.19
60,
61,
61,0.88
61,
61,
61,
61,0.4
61,
61,
61,1.12
61,
61,0.67
61,
61,
61,
61,
61,
62,
62,1.49
62,
62,0.64
62,0.43
62,
63,0.45
63,
63,0.44
63,
63,
63,0.83
63,
63,
63,
63,
63,
63,
64,0.75
64,
64,0.7
64,
64,1.01
64,0.59
64,
64,0.65
65,
65,
65,
65,1
65,
65,
65,
65,
65,
65,
65,0.26
65,1.74
65,0.53
66,
66,
66,
66,1.66
66,
66,0.39
66,
66,
66,
67,
67,0.37
67,0.89
67,0.35
67,
67,0.49
68,0.24
68,
68,
68,
68,
68,
68,
68,
68,
68,0.59
69,
69,1.38
69,
69,1.86
70,
70,0.99
70,
70,0.62
70,
70,
70,
71,
71,
71,
71,
71,1.57
71,
71,0.84
71,
72,1.28
72,
72,
72,
72,
72,
73,0.6
73,
73,1.12
73,
73,1.02
74,1.49
74,
75,0.89
76,
76,1.68
76,1.08
76,0.9
76,
77,
77,
77,2.11
77,0.57
77,
77,0.75
77,
78,
78,
78,
78,0.56
78,
79,0.98
79,
79,
79,
79,
80,1.18
80,
80,
80,0.84
81,1.38
81,
81,
81,
81,1.08
82,
82,
82,1.96
82,0.97
82,1.14
82,0.34
83,0.35
83,0.54
83,0.67
83,
83,
83,
83,
83,
84,
84,
84,
84,
84,0.72
84,2.21
85,
85,0.88
85,1.11
86,1.95
86,0.77
86,
86,
86,0.41
86,
87,0.49
87,
87,
87,1.4
87,
87,1.08
87,
87,
88,
88,
88,1.42
88,1.62
88,
89,
89,0.79
90,0.84
91,
91,1.72
91,
91,
92,1.17
92,0.39
92,0.87
93,
94,0.79
94,0.64
94,0.21
94,
95,
95,
95,0.83
95,1.32
95,
95,
95,
95,
96,
96,
96,3.75
96,
96,
97,1.71
97,
98,1.21
98,
98,1.9
99,
99,
100,
100,
100,
102,
103,0.56
103,
103,
103,
103,
104,0.62
107,0.82
108,
108,1.02
109,1.78
110,
110,
111,
111,
112,
112,
112,
113,
113,
114,
114,
115,1.6
116,1.95
117,
117,
120,
123,1.51
123,
123,
123,
126,1.91
126,0.52
128,0.83
128,1.74
128,
129,2.61
129,
130,1.54
131,1.53
133,
134,
136,1.09
137,
137,0.86
139,0.64
142,
144,
146,
148,1.96
148,
148,
153,
154,
158,
161,2.74
161,
165,1.98
166,2.22
168,
169,
169,
169,
170,1.85
172,
173,
175,
177,
180,2.21
180,
185,2.54
185,
204,
205,2.11